,Method,YY_MM,Quantity of Units Issued,Quantity of Units,Rolling_Issuance,Rolling_Retirement,Balance,Retirement_Ratio
569,Cookstoves,13_11,0.0,6370.0,1790091.0,378003.0,1412088.0,0.21116412517575922
570,Cookstoves,13_12,0.0,1164.0,1790091.0,379167.0,1410924.0,0.21181437144815543
571,Cookstoves,14_02,170345.0,22.0,1960436.0,379189.0,1581247.0,0.1934207492618989
572,Cookstoves,14_03,116665.0,33189.0,2077101.0,412378.0,1664723.0,0.1985353625076489
573,Cookstoves,14_04,0.0,15480.0,2077101.0,427858.0,1649243.0,0.20598805739345366
574,Cookstoves,14_06,0.0,6100.0,2077101.0,433958.0,1643143.0,0.2089248428458703
575,Cookstoves,14_07,0.0,1301.0,2077101.0,435259.0,1641842.0,0.20955119659563978
576,Cookstoves,14_08,0.0,8565.0,2077101.0,443824.0,1633277.0,0.21367473223497557
577,Cookstoves,14_09,0.0,13111.0,2077101.0,456935.0,1620166.0,0.21998689519671888
578,Cookstoves,14_10,22059.0,1244.0,2099160.0,458179.0,1640981.0,0.2182677833037977
579,Cookstoves,14_12,0.0,3437.0,2099160.0,461616.0,1637544.0,0.2199051048991025
580,Cookstoves,15_01,0.0,28068.0,2099160.0,489684.0,1609476.0,0.2332761676099011
581,Cookstoves,15_03,0.0,12649.0,2099160.0,502333.0,1596827.0,0.23930191124068675
582,Cookstoves,15_04,0.0,3000.0,2099160.0,505333.0,1593827.0,0.2407310543264925
583,Cookstoves,15_05,0.0,29674.0,2099160.0,535007.0,1564153.0,0.2548671849692258
584,Cookstoves,15_06,0.0,438439.0,2099160.0,973446.0,1125714.0,0.46373120676842167
585,Cookstoves,15_07,0.0,382393.0,2099160.0,1355839.0,743321.0,0.6458959774385945
586,Cookstoves,15_08,8204.0,3130.0,2107364.0,1358969.0,748395.0,0.6448667624577434
587,Cookstoves,15_09,0.0,684.0,2107364.0,1359653.0,747711.0,0.6451913385632477
588,Cookstoves,15_10,0.0,20024.0,2107364.0,1379677.0,727687.0,0.6546932565992396
589,Cookstoves,15_11,0.0,70000.0,2107364.0,1449677.0,657687.0,0.6879101095017283
590,Cookstoves,15_12,41824.0,7577.0,2149188.0,1457254.0,691934.0,0.6780486397653439
591,Cookstoves,16_01,0.0,13268.0,2149188.0,1470522.0,678666.0,0.6842221341269353
592,Cookstoves,16_02,0.0,2251.0,2149188.0,1472773.0,676415.0,0.6852695064368496
593,Cookstoves,16_04,0.0,9521.0,2149188.0,1482294.0,666894.0,0.6896995516446212
594,Cookstoves,16_05,7920.0,0.0,2157108.0,1482294.0,674814.0,0.6871672628352405
595,Cookstoves,16_06,0.0,113.0,2157108.0,1482407.0,674701.0,0.6872196477876861
596,Cookstoves,16_07,0.0,7073.0,2157108.0,1489480.0,667628.0,0.69049857494386
597,Cookstoves,16_09,7331.0,0.0,2164439.0,1489480.0,674959.0,0.6881598418805057
598,Cookstoves,16_10,0.0,84784.0,2164439.0,1574264.0,590175.0,0.7273311929788735
599,Cookstoves,16_11,0.0,5881.0,2164439.0,1580145.0,584294.0,0.7300482942693234
600,Cookstoves,16_12,0.0,2398.0,2164439.0,1582543.0,581896.0,0.7311562026003042
601,Cookstoves,17_01,0.0,93.0,2164439.0,1582636.0,581803.0,0.7311991698541747
602,Cookstoves,17_03,0.0,3574.0,2164439.0,1586210.0,578229.0,0.7328504060405491
603,Cookstoves,17_04,0.0,26738.0,2164439.0,1612948.0,551491.0,0.745203722535031
604,Cookstoves,17_05,51247.0,0.0,2215686.0,1612948.0,602738.0,0.7279677716066266
605,Cookstoves,17_06,0.0,10033.0,2215686.0,1622981.0,592705.0,0.7324959403092316
606,Cookstoves,17_07,41613.0,1015.0,2257299.0,1623996.0,633303.0,0.7194421297311522
607,Cookstoves,17_08,0.0,1200.0,2257299.0,1625196.0,632103.0,0.7199737385255565
608,Cookstoves,17_10,0.0,100083.0,2257299.0,1725279.0,532020.0,0.7643112410008599
609,Cookstoves,17_11,42575.0,5431.0,2299874.0,1730710.0,569164.0,0.7525238339143796
610,Cookstoves,17_12,33416.0,12967.0,2333290.0,1743677.0,589613.0,0.7473040213603966
611,Cookstoves,18_01,0.0,7847.0,2333290.0,1751524.0,581766.0,0.7506670838172709
612,Cookstoves,18_02,0.0,500.0,2333290.0,1752024.0,581266.0,0.7508813735112223
613,Cookstoves,18_03,0.0,9343.0,2333290.0,1761367.0,571923.0,0.7548855907323994
614,Cookstoves,18_05,0.0,296.0,2333290.0,1761663.0,571627.0,0.7550124502312185
615,Cookstoves,18_06,0.0,39381.0,2333290.0,1801044.0,532246.0,0.7718903351062234
616,Cookstoves,18_07,0.0,4546.0,2333290.0,1805590.0,527700.0,0.7738386570036301
617,Cookstoves,18_09,0.0,8278.0,2333290.0,1813868.0,519422.0,0.7773864371766904
618,Cookstoves,18_10,0.0,632.0,2333290.0,1814500.0,518790.0,0.7776572993498451
619,Cookstoves,18_11,30805.0,101576.0,2364095.0,1916076.0,448019.0,0.8104902721760335
620,Cookstoves,18_12,53319.0,3706.0,2417414.0,1919782.0,497632.0,0.7941469686201867
621,Cookstoves,19_01,0.0,4184.0,2417414.0,1923966.0,493448.0,0.7958777437377297
622,Cookstoves,19_02,0.0,7948.0,2417414.0,1931914.0,485500.0,0.7991655545967716
623,Cookstoves,19_03,0.0,2442.0,2417414.0,1934356.0,483058.0,0.8001757249689131
