,ID,Vintage,Issued,Retired,Balance
121,1340,2019,4438780,3369175.0,1069605.0
122,1360,2011,218036,152588.0,65448.0
123,1360,2012,95870,5208.0,90662.0
124,1360,2013,157743,157743.0,0.0
125,1360,2014,97259,97027.0,232.0
126,1360,2015,148802,143100.0,5702.0
127,1360,2016,34430,34311.0,119.0
128,1360,2017,542110,511385.0,30725.0
129,1360,2018,663401,661832.0,1569.0
130,1360,2019,317883,274738.0,43145.0
131,1360,2020,281862,122150.0,159712.0
132,1390,2014,176470,94740.0,81730.0
133,1390,2015,170440,170440.0,0.0
134,1390,2016,169042,169042.0,0.0
135,1390,2017,165613,61007.0,104606.0
136,1392,2013,13566,13566.0,0.0
137,1392,2014,128316,72718.0,55598.0
138,1392,2015,113446,113446.0,0.0
139,1392,2016,111423,111423.0,0.0
140,1392,2017,110681,37087.0,73594.0
141,1395,2013,133849,123855.0,9994.0
142,1395,2014,391266,203014.0,188252.0
143,1395,2015,366210,360158.0,6052.0
144,1395,2016,364715,364715.0,0.0
145,1395,2017,364162,309162.0,55000.0
146,1399,2013,57042,49307.0,7735.0
147,1399,2014,88793,39303.0,49490.0
148,1399,2015,93127,93127.0,0.0
149,1399,2016,100002,99992.0,10.0
150,1399,2017,104646,16655.0,87991.0
151,1408,2013,176488,176488.0,0.0
152,1408,2014,619404,619404.0,0.0
153,1408,2015,619404,619404.0,0.0
154,1408,2016,617707,596721.0,20986.0
155,1408,2017,831453,697254.0,134199.0
156,1408,2018,800866,430470.0,370396.0
157,1408,2019,770389,304218.0,466171.0
158,1408,2020,736986,7541.0,729445.0
159,1530,2011,2790,2732.0,58.0
160,1530,2012,13223,13223.0,0.0
161,1530,2013,22952,22065.0,887.0
162,1530,2014,33226,31451.0,1775.0
163,1530,2015,36412,35314.0,1098.0
164,1530,2016,39072,37855.0,1217.0
165,1530,2017,49206,16383.0,32823.0
166,1530,2018,49206,9842.0,39364.0
167,1530,2019,34940,6989.0,27951.0
168,1530,2020,16234,15714.0,520.0
169,1538,2016,68478,68478.0,0.0
170,1538,2017,41338,41338.0,0.0
171,1538,2018,47246,47246.0,0.0
172,1538,2019,45777,10503.0,35274.0
173,1538,2020,136146,79662.0,56484.0
174,1538,2021,55945,30139.0,25806.0
175,1541,2012,99564,99268.0,296.0
176,1541,2013,153260,53260.0,100000.0
177,1541,2014,163587,17112.0,146475.0
178,1541,2015,273176,1360.0,271816.0
179,1541,2016,284814,1599.0,283215.0
180,1541,2017,222663,0.0,222663.0
181,1541,2018,373456,0.0,373456.0
182,1689,2015,129082,13060.0,116022.0
183,1689,2016,129082,0.0,129082.0
184,1689,2017,129082,108.0,128974.0
185,1689,2018,129082,526.0,128556.0
186,1689,2019,129082,82.0,129000.0
187,1695,2015,3016,262.0,2754.0
188,1695,2016,1129,0.0,1129.0
189,1769,2015,128,128.0,0.0
190,1769,2016,1064,1064.0,0.0
191,1769,2017,3891,3891.0,0.0
192,1769,2018,4910,4910.0,0.0
193,1769,2019,901,901.0,0.0
194,1855,2018,326643,326643.0,0.0
195,1855,2019,138976,138976.0,0.0
196,1855,2020,199672,129673.0,69999.0
197,1855,2021,239388,101224.0,138164.0
198,1864,2020,170715,170715.0,0.0
199,1900,2017,1516,1418.0,98.0
200,1900,2018,39759,33816.0,5943.0
201,1900,2019,109150,100592.0,8558.0
202,1900,2020,182318,66413.0,115905.0
203,1900,2021,352693,0.0,352693.0
204,1900,2022,78439,0.0,78439.0
205,2278,2018,851385,851385.0,0.0
206,2278,2019,999975,999975.0,0.0
207,2278,2020,1151400,1151400.0,0.0
208,2338,2020,22104,20921.0,1183.0
209,2339,2020,155813,82820.0,72993.0
210,2343,2020,5880,381.0,5499.0
211,2370,2016,15103,15103.0,0.0
212,2370,2017,35940,35940.0,0.0
213,2370,2018,40265,40265.0,0.0
214,2370,2019,45579,45579.0,0.0
215,2370,2020,45579,45579.0,0.0
216,2405,2016,17101,11095.0,6006.0
217,2405,2017,61800,0.0,61800.0
218,2405,2018,61800,60314.0,1486.0
219,2405,2019,61800,59400.0,2400.0
220,2405,2020,46057,7.0,46050.0
221,2412,2015,1090,150.0,940.0
222,2412,2016,1792,0.0,1792.0
223,2412,2017,2197,2197.0,0.0
224,2412,2018,2462,2462.0,0.0
225,2412,2019,2572,2572.0,0.0
226,2412,2020,2572,2572.0,0.0
227,2418,2016,1721,724.0,997.0
228,2418,2017,12714,0.0,12714.0
229,2418,2018,17281,0.0,17281.0
230,2418,2019,17281,0.0,17281.0
231,2418,2020,14343,14343.0,0.0
232,2451,2016,9442,0.0,9442.0
233,2451,2017,37056,0.0,37056.0
234,2451,2018,37056,0.0,37056.0
235,2451,2019,37056,0.0,37056.0
236,2451,2020,36449,0.0,36449.0
237,2458,2016,301364,130819.0,170545.0
238,2458,2017,575362,258362.0,317000.0
239,2458,2018,558583,180680.0,377903.0
240,2458,2019,578140,167820.0,410320.0
241,2458,2020,579723,303649.0,276074.0
242,2481,2017,10263,4169.0,6094.0
243,2481,2018,10264,8037.0,2227.0
