,Project ID,Type,Name,Location,Standard,Volume,Price,Price Type,Broker,Offer Date,LDC,Notes,Year,Month,Quarter,Vintage
52,VCS 786,Natural Gas,Hyundai Steel Waste Energy Cogeneration Project,South Korea,VCS,400000,0.45,Trade,CBL,2019-05-28,0.0,,2019,5,2,2015
53,VCS 947,LFG,Spartanburg County Landfill Gas Combustion Project,USA,VCS,3143,1.7,Trade,CBL,2019-05-31,0.0,,2019,5,2,2013
54,VCS 908,Rice cultivation,Rice Husk Thermal Energy Generation Project At Thot Not,Viet Nam,VCS,5000,1.9,Trade,CBL,2019-06-03,0.0,,2019,6,2,2014
55,VCS 908,Rice cultivation,Rice Husk Thermal Energy Generation Project At Thot Not,Viet Nam,VCS,5000,2.5,Trade,CBL,2019-06-03,0.0,,2019,6,2,2014
56,VCS 612,REDD,The Kasigau Corridor REDD Project - Phase II The Community Ranches,Kenya,VCS-CCB,2000,8.1,Trade,CBL,2019-06-03,0.0,,2019,6,2,2015
57,VCS 1539,Alternative Energy,Gangakhed Sugar & Energy Private Ltd (GSEPL) 30 MW Bagasse Based Co-Generating Power Project,India,VCS,6000,0.6,Trade,CBL,2019-06-05,0.0,,2019,6,2,2013
58,VCS 947,LFG,Spartanburg County Landfill Gas Combustion Project,USA,VCS,92000,1.6,Trade,CBL,2019-06-05,0.0,,2019,6,2,2015
59,VCS 947,LFG,Spartanburg County Landfill Gas Combustion Project,USA,VCS,95000,1.75,Trade,CBL,2019-06-05,0.0,,2019,6,2,2016
60,VCS 674,REDD,Rimba Raya,Indonesia,VCS-CCB-SDG,2000,3.0,Trade,CBL,2019-06-05,0.0,,2019,6,2,2013
61,VCS 674,REDD,Rimba Raya,Indonesia,VCS-CCB-SDG,2000,5.0,Trade,CBL,2019-06-06,0.0,,2019,6,2,2013
62,VCS 1856,Wind,Bundled Wind Power Project by Sembcorp Green Infra Limited in India,India,VCS-SDG,75115,0.41,Trade,CBL,2019-06-12,0.0,,2019,6,2,2017
63,VCS 1856,Wind,Bundled Wind Power Project by Sembcorp Green Infra Limited in India,India,VCS-SDG,80885,0.41,Trade,CBL,2019-06-12,0.0,,2019,6,2,2018
64,VCS 1856,Wind,Bundled Wind Power Project by Sembcorp Green Infra Limited in India,India,VCS-SDG,75115,0.58,Trade,CBL,2019-06-12,0.0,,2019,6,2,2017
65,VCS 1856,Wind,Bundled Wind Power Project by Sembcorp Green Infra Limited in India,India,VCS-SDG,80885,0.58,Trade,CBL,2019-06-12,0.0,,2019,6,2,2018
66,VCS 468,Wind,Capricorn Ridge 4 Wind Farm,USA,VCS,131,2.1,Trade,CBL,2019-06-12,0.0,,2019,6,2,2015
67,VCS 1748,REDD,Southern Cardamom,Cambodia,VCS-CCB-SDG,1455,8.0,Trade,CBL,2019-06-12,1.0,,2019,6,2,2015
68,VCS 1792,Solar,Ghani solar renewable power project by greenko group,India,VCS-SDG,40000,0.28,Trade,CBL,2019-06-13,0.0,,2019,6,2,2017
69,VCS 1839,Wind,Cecic HKC Danjinghe Wind Farm Project,China,VCS,25180,0.52,Trade,CBL,2019-06-17,0.0,,2019,6,2,2016
70,VCS 934,REDD,Mai Ndombe,Congo,VCS-CCB,1838,6.1,Trade,CBL,2019-06-19,1.0,,2019,6,2,2015
71,VCS 1483,Solar,La Ferme - Bambous Solar Photovaltic Power Plant,Mauritius,VCS,20000,2.4,Trade,CBL,2019-06-20,0.0,,2019,6,2,2016
72,VCS 1453,Wind,Gansu Ganzhou District Nantan Phase I 50MWP Solar Photovaltic Power Project,China,VCS,100,0.5,Trade,CBL,2019-06-24,0.0,,2019,6,2,2017
73,VCS 1824,Biomass,"Liucheng Biomass Power Generation Project in Guangxi Zhuang Autonomous Region, China",China,VCS,10000,0.37,Trade,CBL,2019-06-25,0.0,,2019,6,2,2014
74,VCS 977,REDD,RMDLT Portel - Para REDD Project,Brazil,VCS-CCB,100000,0.8,Trade,CBL,2019-06-28,0.0,,2019,6,2,2012
75,VCS 562,REDD,The Kasigau Corridor REDD Project - Phase I Rukinga Sanctuary,Kenya,VCS-CCB-SDG,20000,7.0,Trade,CBL,2019-06-28,0.0,,2019,6,2,2015
76,VCS 468,Wind,Capricorn Ridge 4 Wind Farm,USA,VCS,9000,2.0,Trade,CBL,2019-07-04,0.0,,2019,7,3,2015
77,VCS 1453,Wind,Gansu Ganzhou District Nantan Phase I 50MWP Solar Photovaltic Power Project,China,VCS,551,0.5,Trade,CBL,2019-07-05,0.0,,2019,7,3,2017
78,VCS 788,Natural Gas,China Guangdown Shenzen Quanwan LNG Generation Project,China,VCS,1000,0.32,Trade,CBL,2019-07-12,0.0,,2019,7,3,2009
79,VCS 877,Hydro,"Sichuan Huadian XIXI River Hydro-Electricity Development Co., Ltd. Luogu Hydroelectric Project",China,VCS,25658,0.33,Trade,CBL,2019-07-12,0.0,,2019,7,3,2012
80,VCS 1448,Wind,Putian Shicheng Wind Farm Project,China,VCS,1413,0.4,Trade,CBL,2019-07-12,0.0,,2019,7,3,2014
81,VCS 1121,Biomass,Anhui Guzhen Biomass Generation Project,China,VCS,1582,0.35,Trade,CBL,2019-07-31,0.0,,2019,7,3,2011
82,VCS 1121,Biomass,Anhui Guzhen Biomass Generation Project,China,VCS,17800,0.35,Trade,CBL,2019-07-31,0.0,,2019,7,3,2012
83,VCS 1656,Wind,Zhangbei Manjing Wind Farm Project,China,VCS,18374,0.35,Trade,CBL,2019-07-31,0.0,,2019,7,3,2012
84,VCS 1489,Wind,Cecic Urumqi Tuoli Phase I Wind Farm Project,China,VCS,14471,0.38,Trade,CBL,2019-07-31,0.0,,2019,7,3,2012
85,VCS 993,ARR,"TIST Program in Uganda, VCS 005",Uganda,VCS-CCB,20315,6.0,Trade,CBL,2019-07-31,1.0,,2019,7,3,2017
86,VCS 1770,Solar,Bundled Solar Power Project by Vector Green Energy Private Limited,India,VCS-SDG,116685,0.29,Trade,CBL,2019-08-01,0.0,,2019,8,3,2018
87,VCS 1770,Solar,Bundled Solar Power Project by Vector Green Energy Private Limited,India,VCS-SDG,112130,0.29,Trade,CBL,2019-08-01,0.0,,2019,8,3,2017
88,VCS 1453,Wind,Gansu Ganzhou District Nantan Phase I 50MWP Solar Photovaltic Power Project,China,VCS,492,0.5,Trade,CBL,2019-08-14,0.0,,2019,8,3,2017
89,VCS 1579,Wind / Solar,Renewable Energy Project in Rajasthan & Maharashtra,India,VCS,577,0.6,Trade,CBL,2019-09-05,0.0,,2019,9,3,2017
90,VCS 1679,Wind,"Bundled Wind Power Project in Madhya Pradesh, Gujarat and Kerala by D.J. Malpani",India,VCS-SDG,10000,0.38,Trade,CBL,2019-09-06,0.0,,2019,9,3,2016
91,VCS 727,Wind,Cecic hke zhangbei lvnaobao wind power project,China,VCS,5000,0.51,Trade,CBL,2019-09-18,0.0,,2019,9,3,2017
