,Project ID,Project Name,Project Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,Additional Issuance Certifications
1715,1105,OSMANCIK HYDROELECTRIC POWER PLANT,Turhal Enerji Uretim ve Ticaret A.S.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Turkey,17472,Middle East,2013-07-18,,,
1716,1108,23.80 MW KIY Regulator and Hydroelectric Power Plant Project,Kyy Enerji A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Under development,Turkey,37737,Middle East,,2013-06-01,2023-05-31,
1717,1125,Carbon Offset Aggregation Cooperative: Reducing GHG Emissions from Industrial Vehicles and Mobile Machinery (Grouped Project),Carbon Offset Aggregation Co-operative BC,Transport,,AMS-III.BC.,Under development,Canada,43542,North America,,2013-07-08,2023-07-07,
1718,1128,Hangjin Yihewusu Phase I 49.5MW Wind Power Project,"Inner Mongolia Guodian New Energy Co.,Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,97395,Asia,2013-09-29,,,
1719,1145,"Biomass Based Cogeneration Project by Best Foods Limited at Haryana, India",Best Foods Limited,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,India,130183,Asia,2014-04-28,2013-06-06,2023-06-05,
1720,1151,Wind based power project in Maharashtra by Siddhayu Ayurvedic Research Foundation Pvt. Ltd,Siddhayu Ayurvedic Research Foundation (P) Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under validation,India,21807,Asia,,,,
1721,1171,Biomass based steam generation project by Indapur Dairy and Milk Products Limited,Indapur Dairy and Milk Products Limited,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Under validation,India,35308,Asia,,,,
1722,1234,"Songtao, Tongren, Wanshan and Yuping Rural Methane Digesters Project in Guizhou Province, China",Guizhou Black Carbon Energy Tech Prom & App Co. Lt,Energy industries (renewable/non-renewable sources),,AMS-I.C.; AMS-III.R.,Under validation,China,48210,Asia,,,,
1723,1251,Fuel Efficient Stoves in Zambia CPA 1,3 Rocks Limited,Energy demand,,AMS-II.G.,Registered,Zambia,40684,Africa,2020-06-04,2018-06-06,2025-06-05,
1724,1254,"Yelisirur wind power project, India",Bhoruka Power Corporation Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,49451,Asia,2014-02-26,,,
1725,749,Grid Connected Renewable Power Generation from Wind Mills by L.S Mills,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,18539,Asia,2011-12-16,,,
1726,767,Wuhe Kaidi Biomass Power Project,"Wuhe Kaidi Green Energy Development Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002; ACM0006,Registered,China,106559,Asia,2012-02-06,,,
1727,769,"Methane recovery and utilisation project at United Plantations Berhad, Jendarata Palm Oil Mill, Malaysia",United Plantations Berhad,Waste handling and disposal,,ACM0013,Registered,Malaysia,20271,Asia,2012-02-07,2021-09-01,2028-08-31,
1728,772,3.75 MW Wind Energy by Mrs. Revathi Raju at Gadag District of Karnataka State,Mrs. Revathi Raju,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,7894,Asia,2020-04-06,2016-09-28,2026-09-27,
1729,346,Wind power project by GFL in Gudhepanchgani,Gujarat Fluorochemicals Limited (GFL),Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,51618,,2020-04-06,,,
1730,348,"6 MW Biomass based power project, Nellore District, Andhra Pradesh, India.",BOLLINENI CASTINGS AND STEEL LIMITED,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,27813,Asia,2010-03-03,2016-04-01,2026-03-31,
1731,349,"8.35 MW Wind Power Project at Guddarangavana Halli, District Chitradurga, State Karnataka, India.",MSPL Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,17068,Asia,2020-04-06,,,
1732,350,Energy efficiency and fuel switch project at Welspun India Limited,Welspun India Limited,Manufacturing industries,,AMS-II.D.,Registered,India,35131,Asia,2010-03-16,,,
1733,351,"Bundled grid-connected wind electricity generation project identified as Bundle E5 in Maharashtra and Tamil Nadu, India",Kaypee Enterprises,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,23020,Asia,2020-04-06,,,
1734,352,"FUEL SWITCHING AT ATOCONGO CEMENT PLANT AND NATURAL GAS PIPELINE EXTENSION, CEMENTOS LIMA, PERU",CEMENTOS LIMA S.A.,Manufacturing industries,,ACM0003,Registered,Peru,130000,Latin America,2020-04-06,2022-09-01,2029-08-31,
1735,357,"7.50 MW Bundled grid-connected wind electricity generation project in Tamil Nadu and Karnataka, India",Indian Wind Power Association,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,14980,Asia,2020-04-06,,,
1736,359,"9.20 MW Bundled Grid-Connected wind electricity generation project in Tamil Nadu, India",Indian Wind Power Association,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,15345,Asia,2020-04-06,,,
